from,to,frequency
great,stay,239495
great,location,209176
place,stay,208311
great,place,170336
apartment,stay,153972
location,stay,144092
apartment,great,142953
great,host,116510
host,stay,110201
clean,stay,108346
apartment,location,107678
recommend,stay,100863
clean,great,94773
melbourne,stay,87914
location,place,87572
need,stay,84623
comfortable,stay,83895
clean,place,80734
great,recommend,77862
definitely,stay,77271
place,recommend,76090
lovely,stay,73471
host,place,72965
apartment,clean,71060
easy,stay,69268
good,stay,69084
stay,thank,67127
clean,location,66725
easy,great,66486
host,location,66175
perfect,stay,65345
highly,recommend,64578
close,stay,64442
great,melbourne,61905
close,great,61891
stay,walk,61798
apartment,host,61425
great,need,61346
apartment,melbourne,58895
comfortable,great,57659
good,location,55813
home,stay,55142
great,walk,54908
apartment,recommend,54847
melbourne,place,54648
great,view,53881
house,stay,53830
nice,stay,53530
apartment,place,53382
good,place,52863
beautiful,stay,52469
location,recommend,52395
need,place,51490
great,lovely,50746
good,great,50585
city,stay,50501
nice,place,48788
highly,stay,48763
amazing,stay,48325
apartment,need,48079
great,thank,47536
stay,view,47370
location,perfect,47056
city,great,46386
definitely,great,46308
stay,time,46185
apartment,easy,45910
easy,location,45849
comfortable,place,45817
clean,host,45728
close,place,45350
apartment,walk,45252
lovely,place,44820
perfect,place,44459
host,recommend,44130
easy,place,43424
location,melbourne,43381
communication,great,43267
great,nice,43206
apartment,comfortable,43130
apartment,good,42470
great,perfect,42423
apartment,view,41788
definitely,place,41726
location,need,41447
clean,recommend,40832
love,stay,40737
comfortable,location,40497
apartment,close,40368
place,walk,39892
apartment,city,39824
location,walk,39489
clean,comfortable,39103
great,highly,38647
helpful,stay,37935
close,location,37911
great,house,37426
amazing,place,36691
room,stay,35977
place,thank,35852
fantastic,stay,35842
apartment,perfect,35791
highly,place,35395
beautiful,place,34802
stay,super,34293
apartment,lovely,34103
great,time,34025
city,place,34015
communication,stay,33997
location,lovely,33835
apartment,definitely,33710
little,stay,33573
stay,tram,33323
check,stay,32789
quiet,stay,32755
good,host,32566
location,view,32497
great,home,32456
apartment,nice,32412
location,nice,32411
space,stay,32316
place,view,32191
definitely,location,32171
clean,good,31761
beautiful,great,31654
city,location,31630
great,little,31564
friendly,stay,31513
amazing,great,31355
great,space,31220
host,lovely,31170
clean,need,30581
clean,easy,30464
great,helpful,30442
place,time,30302
check,great,30224
great,tram,29869
home,place,29830
amazing,location,29438
host,need,28812
great,super,28753
host,melbourne,28720
melbourne,recommend,28667
definitely,recommend,28664
apartment,tram,28534
comfortable,host,28516
apartment,thank,28493
clean,nice,28332
location,thank,28174
fantastic,great,27833
fantastic,location,27636
clean,melbourne,27567
clean,close,27287
apartment,highly,27153
great,room,27051
highly,location,26775
great,quiet,26603
amazing,apartment,26209
easy,host,26059
house,place,25648
comfortable,recommend,25647
clean,lovely,25565
need,recommend,25349
host,perfect,24600
beautiful,location,24522
clean,walk,24499
place,super,24440
communication,location,24440
melbourne,walk,24424
easy,walk,24422
helpful,place,24114
apartment,time,24085
clean,definitely,23990
host,nice,23861
apartment,check,23832
friendly,great,23794
apartment,fantastic,23794
amazing,host,23734
place,quiet,23559
great,love,23516
lovely,recommend,23438
definitely,host,23408
little,place,23402
easy,recommend,23338
clean,house,23279
host,house,23209
location,tram,23074
close,host,23023
friendly,host,22996
highly,host,22992
amazing,view,22980
comfortable,need,22971
clean,perfect,22856
apartment,beautiful,22784
helpful,host,22711
melbourne,perfect,22663
check,easy,22555
host,thank,22412
melbourne,need,22150
home,host,22113
close,recommend,22108
place,tram,22020
apartment,communication,21960
house,location,21887
love,place,21858
easy,melbourne,21853
check,location,21823
good,melbourne,21755
clean,view,21748
apartment,helpful,21664
good,nice,21658
clean,thank,21648
beautiful,host,21552
helpful,location,21516
perfect,recommend,21492
city,melbourne,21424
friendly,place,21405
place,room,21298
host,walk,21124
close,need,21107
check,place,20899
close,melbourne,20812
comfortable,melbourne,20715
recommend,walk,20664
home,location,20600
fantastic,place,20292
need,walk,20255
clean,highly,20195
city,close,19987
good,recommend,19890
location,super,19782
need,perfect,19749
beautiful,recommend,19706
comfortable,easy,19676
location,time,19653
comfortable,lovely,19582
tram,walk,19556
city,walk,19466
city,clean,19430
communication,place,19355
location,quiet,19314
easy,need,19243
