from,to,frequency
room,stay,96
host,stay,83
place,stay,71
place,room,66
host,room,64
airbnb,stay,58
airbnb,host,58
apartment,stay,50
airbnb,place,50
airbnb,apartment,49
airbnb,room,49
host,property,47
host,place,38
provide,stay,37
check,stay,37
stay,time,35
kitchen,stay,35
like,stay,34
great,stay,34
clean,stay,31
bed,stay,31
check,place,31
good,stay,31
location,stay,31
airbnb,check,31
apartment,communication,30
apartment,host,29
bed,room,28
experience,host,27
host,time,27
house,stay,27
check,room,26
house,room,26
airbnb,experience,25
room,time,25
parking,property,24
great,location,24
like,room,24
kitchen,room,24
like,place,24
apartment,check,23
good,place,23
good,room,23
need,stay,23
good,host,22
host,kitchen,22
need,room,22
host,parking,21
night,stay,21
airbnb,time,20
host,house,20
apartment,night,20
host,need,19
experience,room,18
great,host,18
check,host,18
airbnb,good,18
recommend,stay,18
airbnb,communication,17
kitchen,place,17
apartment,bed,17
apartment,place,16
experience,stay,16
night,place,16
location,place,16
experience,place,16
apartment,need,16
bed,place,15
bed,host,15
communication,stay,15
apartment,great,15
check,great,15
parking,room,15
place,time,15
good,need,15
airbnb,property,15
apartment,time,15
airbnb,night,15
airbnb,parking,14
nice,room,14
airbnb,like,14
kitchen,like,14
place,recommend,14
come,room,14
property,stay,13
away,stay,13
airbnb,need,13
night,room,13
house,like,13
check,good,13
apartment,nice,13
check,communication,13
apartment,room,12
bed,property,12
good,nice,12
parking,stay,12
apartment,recommend,12
property,room,12
communication,place,12
good,location,12
apartment,helpful,12
communication,host,12
host,like,12
check,location,12
clean,place,12
like,parking,12
house,place,11
stay,walk,11
definitely,stay,11
check,nice,11
host,night,11
come,stay,11
apartment,location,11
bed,good,11
nice,place,11
host,location,11
location,room,11
airbnb,kitchen,11
room,space,11
right,room,11
house,kitchen,11
great,place,10
host,melbourne,10
bed,kitchen,10
clean,host,10
bed,house,10
clean,provide,10
apartment,away,10
nice,stay,10
definitely,house,10
close,stay,10
kitchen,recommend,10
airbnb,bed,10
apartment,kitchen,10
airbnb,house,10
like,property,10
apartment,good,9
bed,time,9
need,place,9
kitchen,time,9
city,stay,9
bed,need,9
definitely,room,9
like,time,9
room,walk,9
experience,property,9
apartment,clean,9
come,host,9
good,like,9
place,right,9
clean,room,9
parking,place,9
good,recommend,9
clean,location,9
host,recommend,9
house,property,9
stay,tram,9
apartment,provide,8
place,walk,8
check,recommend,8
location,nice,8
like,recommend,8
check,night,8
home,stay,8
house,time,8
check,like,8
like,provide,8
good,time,8
great,nice,8
provide,recommend,8
host,walk,8
great,room,8
experience,time,8
good,night,8
place,property,7
great,walk,7
airbnb,home,7
communication,night,7
good,tram,7
clean,kitchen,7
check,kitchen,7
airbnb,melbourne,7
check,provide,7
good,kitchen,7
melbourne,stay,7
comfortable,stay,7
location,provide,7
helpful,host,7
experience,good,7
clean,great,7
clean,good,7
nice,recommend,7
melbourne,parking,7
place,tram,7
communication,good,7
definitely,place,7
space,stay,7
kitchen,parking,7
kitchen,property,7
recommend,time,7
property,time,7
kitchen,need,7
apartment,space,7
like,location,7
bed,check,7
room,tram,7
like,need,7
right,tram,7
recommend,room,7
apartment,walk,6
bed,location,6
area,room,6
nice,property,6
property,right,6
away,provide,6
good,house,6
location,night,6
experience,need,6
place,provide,6
check,time,6
communication,provide,6
close,great,6
house,parking,6
definitely,host,6
close,house,6
home,place,6
parking,time,6
airbnb,come,6
house,need,6
home,time,6
bed,recommend,6
good,provide,6
good,right,5
melbourne,place,5
area,kitchen,5
clean,time,5
right,stay,5
close,place,5
kitchen,location,5
bed,clean,5
check,easy,5
great,house,5
check,experience,5
bed,space,5
nice,right,5
home,like,5
apartment,experience,5
need,tram,5
bed,night,5
bed,nice,5
apartment,melbourne,5
city,great,5
bed,tram,5
need,time,5
need,night,5
check,need,5
check,clean,5
like,night,5
nice,time,5
bed,great,5
place,space,5
close,location,4
area,tram,4
definitely,great,4
house,recommend,4
parking,space,4
house,right,4
need,space,4
need,recommend,4
experience,night,4
easy,location,4
area,stay,4
time,walk,4
experience,parking,4
melbourne,time,4
communication,great,4
come,like,4
easy,tram,4
kitchen,night,4
come,place,4
melbourne,property,4
area,good,4
night,recommend,4
kitchen,provide,4
comfortable,great,4
nice,walk,4
location,recommend,4
city,nice,4
host,space,4
bed,like,4
city,clean,4
check,walk,4
host,nice,4
clean,like,4
bed,close,4
check,space,4
bed,parking,4
city,good,4
bed,right,4
great,melbourne,4
airbnb,definitely,4
clean,comfortable,4
away,host,4
location,melbourne,4
check,city,4
clean,communication,4
location,walk,4
airbnb,location,4
bed,communication,4
home,room,4
provide,room,4
check,house,4
bed,experience,4
away,time,4
kitchen,space,3
apartment,parking,3
airbnb,away,3
easy,place,3
experience,great,3
area,bed,3
comfortable,place,3
experience,home,3
