"date","average_price","percentage_available","year","weekday","day_of_week","monthf","yearmonth","week","week_of_month"
2022-09-09,202.959388677621,22.895888641745,2022,5,"Fri","Sep","Sep 2022",36,1
2022-09-10,191.159247438266,10.4709110252534,2022,6,"Sat","Sep","Sep 2022",36,1
2022-09-11,172.840348330914,21.6367087194373,2022,0,"Sun","Sep","Sep 2022",36,1
2022-09-12,169.953515625,27.7287946428571,2022,1,"Mon","Sep","Sep 2022",37,2
2022-09-13,170.1296875,29.4921875,2022,2,"Tue","Sep","Sep 2022",37,2
2022-09-14,171.013171112847,29.026677084496,2022,3,"Wed","Sep","Sep 2022",37,2
2022-09-15,173.517536021445,25.7846531888752,2022,4,"Thu","Sep","Sep 2022",37,2
2022-09-16,193.499440340273,21.3678083725095,2022,5,"Fri","Sep","Sep 2022",37,2
2022-09-17,196.175982508269,20.5247519201659,2022,6,"Sat","Sep","Sep 2022",37,2
2022-09-18,177.567295878477,27.4042220484754,2022,0,"Sun","Sep","Sep 2022",37,2
2022-09-19,174.081560877575,30.642550103277,2022,1,"Mon","Sep","Sep 2022",38,3
2022-09-20,174.127163112649,30.9255331026013,2022,2,"Tue","Sep","Sep 2022",38,3
2022-09-21,175.218170649989,28.8641947732857,2022,3,"Wed","Sep","Sep 2022",38,3
2022-09-22,183.982947556748,23.839874762384,2022,4,"Thu","Sep","Sep 2022",38,3
2022-09-23,207.101436215151,18.6933258237116,2022,5,"Fri","Sep","Sep 2022",38,3
2022-09-24,207.409655561829,18.8876341050254,2022,6,"Sat","Sep","Sep 2022",38,3
2022-09-25,186.861877834388,25.4856950898606,2022,0,"Sun","Sep","Sep 2022",38,3
2022-09-26,179.110800848877,29.029375628281,2022,1,"Mon","Sep","Sep 2022",39,4
2022-09-27,177.800078181717,30.3289216507511,2022,2,"Tue","Sep","Sep 2022",39,4
2022-09-28,178.413823907096,29.7582491206521,2022,3,"Wed","Sep","Sep 2022",39,4
2022-09-29,180.776636140273,27.9763234308689,2022,4,"Thu","Sep","Sep 2022",39,4
2022-09-30,199.322824928479,24.1768104560498,2022,5,"Fri","Sep","Sep 2022",39,4
2022-10-01,201.334008211012,23.570102918846,2022,6,"Sat","Oct","Oct 2022",39,1
2022-10-02,184.336667411712,28.7717925793473,2022,0,"Sun","Oct","Oct 2022",39,1
2022-10-03,177.467898615453,34.1837874050916,2022,1,"Mon","Oct","Oct 2022",40,2
2022-10-04,177.039859320047,35.945961033886,2022,2,"Tue","Oct","Oct 2022",40,2
