Token,Occurrences
stay,378047
great,376056
place,271189
location,254064
apartment,201835
host,166025
clean,163056
recommend,131749
good,111618
comfortable,99676
lovely,97517
need,95388
easy,94623
melbourne,93889
close,91537
nice,90882
perfect,87279
thank,79682
view,77141
definitely,75877
walk,75787
beautiful,73735
house,68933
amazing,68602
highly,66002
city,65897
home,63916
time,52911
helpful,51690
communication,48846
room,48439
fantastic,47946
little,46480
space,46229
quiet,46171
super,46170
friendly,44794
check,44335
love,42950
tram,42237
